Description,Avg_Elasticity,Obs,Sensitivity
DOORMAT ENGLISH ROSE ,-912.1139345115646,17,Elastic (price-sensitive)
DOORMAT VINTAGE LEAVES DESIGN ,-905.7445910335729,3,Elastic (price-sensitive)
YOU'RE CONFUSING ME METAL SIGN ,-881.0440527848206,12,Elastic (price-sensitive)
PINK FLY SWAT,-877.4407095294978,4,Elastic (price-sensitive)
EGG CUP NATURAL CHICKEN,-877.2659764642653,9,Elastic (price-sensitive)
GOLD STANDING GNOME,-874.142361111111,5,Elastic (price-sensitive)
INLAID WOOD INCENSE HOLDER,-846.5124761608063,6,Elastic (price-sensitive)
PAPER BUNTING WHITE LACE,-827.7704751857246,8,Elastic (price-sensitive)
WHITE BELL HONEYCOMB PAPER ,-811.3665863546846,8,Elastic (price-sensitive)
REGENCY TEA STRAINER,-807.0361836585733,7,Elastic (price-sensitive)
VINTAGE BILLBOARD TEA MUG,-804.11512465536,11,Elastic (price-sensitive)
"SPRING DEC , HANGING CHICK CREAM",-799.0563235294113,3,Elastic (price-sensitive)
HOT STUFF HOT WATER BOTTLE,-790.7171420055887,3,Elastic (price-sensitive)
STRAWBERRY LUNCH BOX WITH CUTLERY,-777.9180069163255,8,Elastic (price-sensitive)
CHRISTMAS LIGHTS 10 SANTAS ,-777.0768774972861,4,Elastic (price-sensitive)
TRADITIONAL CHRISTMAS RIBBONS,-763.0551478568516,7,Elastic (price-sensitive)
GREEN MINI TAPE MEASURE ,-759.5176189011349,5,Elastic (price-sensitive)
PINK REGENCY TEACUP AND SAUCER,-756.8324019290142,9,Elastic (price-sensitive)
WOODEN TREE CHRISTMAS SCANDINAVIAN,-746.7846712802452,3,Elastic (price-sensitive)
LARGE CHUNKY GLASS ROMAN BOWL,-737.2662687580677,4,Elastic (price-sensitive)
SILVER MINI TAPE MEASURE ,-706.7987428293549,5,Elastic (price-sensitive)
CREAM SWEETHEART LETTER RACK,-703.8063673788162,5,Elastic (price-sensitive)
EASTER TREE YELLOW BIRDS,-700.7078980194423,4,Elastic (price-sensitive)
COLOUR GLASS. STAR T-LIGHT HOLDER,-678.0518780772786,16,Elastic (price-sensitive)
DOORMAT RESPECTABLE HOUSE,-661.8038845349536,17,Elastic (price-sensitive)
SET OF 72 SKULL PAPER  DOILIES,-654.9452448033722,8,Elastic (price-sensitive)
TEATIME PEN CASE & PENS,-652.0494744916203,8,Elastic (price-sensitive)
DOORMAT RED SPOT,-632.2211490650587,5,Elastic (price-sensitive)
COLOURFUL STANDING GNOME,-630.5455390193778,3,Elastic (price-sensitive)
BUNNY DECORATION MAGIC GARDEN,-624.3907641793979,4,Elastic (price-sensitive)
CONCH SHELL,-591.367422319389,3,Elastic (price-sensitive)
PICNIC BOXES SET OF 3 RETROSPOT ,-586.4803625959293,7,Elastic (price-sensitive)
BREAD BIN DINER STYLE IVORY,-566.4032250864752,8,Elastic (price-sensitive)
BAKING MOULD TOFFEE CUP CHOCOLATE,-562.7333377294187,7,Elastic (price-sensitive)
COOK WITH WINE METAL SIGN ,-562.1732490765281,7,Elastic (price-sensitive)
TEA TIME KITCHEN APRON,-545.298432591109,15,Elastic (price-sensitive)
CHOCOLATE 3 WICK MORRIS BOX CANDLE,-541.8901792176107,11,Elastic (price-sensitive)
SWEETHEART CERAMIC TRINKET BOX,-536.8610371254784,10,Elastic (price-sensitive)
LOVE HEART SOCK HANGER,-535.7685459267141,5,Elastic (price-sensitive)
GUMBALL COAT RACK,-519.3828093956577,12,Elastic (price-sensitive)
TRADITIONAL KNITTING NANCY,-516.5516771703223,7,Elastic (price-sensitive)
DOORMAT WELCOME PUPPIES,-514.5086681633724,14,Elastic (price-sensitive)
WICKER WREATH SMALL,-513.3125096878828,4,Elastic (price-sensitive)
DOORMAT WELCOME TO OUR HOME,-507.8955136584467,15,Elastic (price-sensitive)
MINI JIGSAW BAKE A CAKE ,-500.18217363462634,10,Elastic (price-sensitive)
MULTICOLOUR HONEYCOMB PAPER GARLAND,-476.0751559166193,6,Elastic (price-sensitive)
RED LOVE HEART SHAPE CUP,-459.0469970046591,4,Elastic (price-sensitive)
YELLOW BREAKFAST CUP AND SAUCER,-458.43911497444725,3,Elastic (price-sensitive)
MINI JIGSAW PURDEY,-454.53961282194007,8,Elastic (price-sensitive)
VINTAGE CHRISTMAS TABLECLOTH,-454.0688764046438,3,Elastic (price-sensitive)
PARTY BUNTING,-450.272868912873,11,Elastic (price-sensitive)
SMALL CHINESE STYLE SCISSOR,-449.75783503608415,21,Elastic (price-sensitive)
SET/6 WOODLAND PAPER CUPS,-448.7673216760899,4,Elastic (price-sensitive)
MILK PAN PINK POLKADOT,-448.65013373619666,3,Elastic (price-sensitive)
ASSORTED CIRCULAR MOBILE,-426.04444444444437,4,Elastic (price-sensitive)
JUMBO BAG SPACEBOY DESIGN,-424.2825487870348,13,Elastic (price-sensitive)
DOORMAT TOPIARY,-421.0463577222239,15,Elastic (price-sensitive)
MISTLETOE HEART WREATH CREAM,-420.99281010875404,4,Elastic (price-sensitive)
MAGIC DRAWING SLATE LEAP FROG ,-414.0210145670441,5,Elastic (price-sensitive)
CHRISTMAS DECOUPAGE CANDLE,-408.6372359471131,4,Elastic (price-sensitive)
PINK FLOWER CROCHET FOOD COVER,-402.717626472646,4,Elastic (price-sensitive)
RED METAL BEACH SPADE ,-399.7281005093408,8,Elastic (price-sensitive)
ASS COLOUR GLOWING TIARAS,-399.09668737060036,4,Elastic (price-sensitive)
SET/6 WOODLAND PAPER PLATES,-388.9688270212148,3,Elastic (price-sensitive)
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,-383.9404484072898,9,Elastic (price-sensitive)
LARGE RED SPOT WINDMILL,-382.55594153936994,4,Elastic (price-sensitive)
SWEETHEART KEY CABINET,-377.34895798272754,7,Elastic (price-sensitive)
PENNY FARTHING BIRTHDAY CARD,-376.42021290120255,9,Elastic (price-sensitive)
THE KING GIFT BAG,-376.18375630349993,4,Elastic (price-sensitive)
S/4 BLUE ROUND DECOUPAGE BOXES,-370.6090234531809,3,Elastic (price-sensitive)
MISTLETOE HEART WREATH GREEN,-369.3991476723345,4,Elastic (price-sensitive)
EASTER DECORATION EGG BUNNY ,-369.16269320042676,5,Elastic (price-sensitive)
MIRROR MOSAIC T-LIGHT HOLDER ROUND,-368.8284829695764,10,Elastic (price-sensitive)
ABSTRACT CIRCLES POCKET BOOK,-362.10615184761053,4,Elastic (price-sensitive)
WHITE/PINK CHICK DECORATION,-354.9039961013647,3,Elastic (price-sensitive)
TROPICAL LUGGAGE TAG,-351.750742582991,8,Elastic (price-sensitive)
EASTER TIN BUNNY BOUQUET,-345.4682674740722,4,Elastic (price-sensitive)
RED/WHITE DOT MINI CASES,-340.17944630548993,5,Elastic (price-sensitive)
GLASS JAR DAISY FRESH COTTON WOOL,-331.1975574258383,10,Elastic (price-sensitive)
DOOR MAT BLACK FLOCK ,-325.4574593557346,6,Elastic (price-sensitive)
BLACK ENCHANTED FOREST PLACEMAT,-321.16430852785044,9,Elastic (price-sensitive)
KINGS CHOICE MUG,-318.64245066021846,16,Elastic (price-sensitive)
WHITE WITH BLACK CATS PLATE,-316.2600366273999,4,Elastic (price-sensitive)
COFFEE MUG PINK PAISLEY DESIGN,-315.48732792789997,18,Elastic (price-sensitive)
16 PIECE CUTLERY SET PANTRY DESIGN,-315.3080004021693,5,Elastic (price-sensitive)
METAL SIGN TAKE IT OR LEAVE IT ,-314.1959816631109,7,Elastic (price-sensitive)
RED WHITE SCARF  HOT WATER BOTTLE,-304.97583854336506,3,Elastic (price-sensitive)
SET OF 6 SPICE TINS PANTRY DESIGN,-295.43524025019894,6,Elastic (price-sensitive)
WEEKEND BAG VINTAGE ROSE PAISLEY,-288.9735859146278,5,Elastic (price-sensitive)
METAL SIGN NEIGHBOURHOOD WITCH ,-288.5905566092681,7,Elastic (price-sensitive)
PAPER CHAIN KIT VINTAGE CHRISTMAS,-288.2159401479713,7,Elastic (price-sensitive)
ASSORTED MONKEY SUCTION CUP HOOK,-286.07479882074705,9,Elastic (price-sensitive)
IVORY KNITTED MUG COSY ,-284.37662177113367,7,Elastic (price-sensitive)
"SMALL POP BOX,FUNKY MONKEY",-277.02842113460065,6,Elastic (price-sensitive)
DOORMAT HOME SWEET HOME BLUE ,-276.69086388271324,12,Elastic (price-sensitive)
HEART EAR MUFF HEADPHONES,-276.65366268458575,4,Elastic (price-sensitive)
6 RIBBONS ELEGANT CHRISTMAS ,-274.7062741590867,7,Elastic (price-sensitive)
SET OF 12 MINI BUNNIES IN A BUCKET,-273.2643700287941,3,Elastic (price-sensitive)
CUT GLASS HEXAGON T-LIGHT HOLDER,-272.9603357203551,8,Elastic (price-sensitive)
CAMOFLAGE DESIGN TEDDY,-270.8694037732952,4,Elastic (price-sensitive)
ROSE COTTAGE KEEPSAKE BOX ,-269.5070847521621,6,Elastic (price-sensitive)
LA PALMIERA WALL THERMOMETER,-269.00168511685126,3,Elastic (price-sensitive)
S/12 VANILLA  BOTANICAL T-LIGHTS,-268.93466528025334,3,Elastic (price-sensitive)
FELTCRAFT CHRISTMAS FAIRY,-267.71107959895005,7,Elastic (price-sensitive)
WOODEN ROUNDERS GARDEN SET ,-266.0232891159448,8,Elastic (price-sensitive)
WICKER WREATH LARGE,-265.07718938891395,7,Elastic (price-sensitive)
BUTTON BOX ,-263.9116068649976,6,Elastic (price-sensitive)
ROSE SCENT CANDLES IN GLASS,-261.27636437636534,4,Elastic (price-sensitive)
GLASS JAR MARMALADE ,-258.56027881176493,12,Elastic (price-sensitive)
RAIN PONCHO ,-257.1415495238441,9,Elastic (price-sensitive)
CD WALL TIDY RED FLOWERS,-256.2895622895624,3,Elastic (price-sensitive)
IVY HEART WREATH,-255.84068116023744,4,Elastic (price-sensitive)
DAISY JOURNAL ,-255.65608667783297,7,Elastic (price-sensitive)
SET OF 20 VINTAGE CHRISTMAS NAPKINS,-254.52141430687138,4,Elastic (price-sensitive)
YELLOW GIANT GARDEN THERMOMETER,-248.48473684210603,6,Elastic (price-sensitive)
BIRDHOUSE DECORATION MAGIC GARDEN,-246.77879444345433,8,Elastic (price-sensitive)
GLASS CHALICE GREEN  LARGE ,-244.97114614614625,6,Elastic (price-sensitive)
TOP SECRET PEN SET,-244.14495209719408,5,Elastic (price-sensitive)
JUMBO BAG OWLS,-242.20245813400305,10,Elastic (price-sensitive)
MAGIC DRAWING SLATE BAKE A CAKE ,-237.4397415865981,9,Elastic (price-sensitive)
WILLOW BRANCH LIGHTS.,-237.05553170216334,3,Elastic (price-sensitive)
GREEN FERN POCKET BOOK,-235.68552509918945,3,Elastic (price-sensitive)
LADLE LOVE HEART PINK,-232.6154959989129,4,Elastic (price-sensitive)
CHRISTMAS TABLE SILVER CANDLE SPIKE,-232.43680641547488,3,Elastic (price-sensitive)
3 HEARTS HANGING DECORATION RUSTIC,-231.67760123856138,5,Elastic (price-sensitive)
CHILLI LIGHTS,-231.46894609922853,13,Elastic (price-sensitive)
12 IVORY ROSE PEG PLACE SETTINGS,-227.36253161232608,4,Elastic (price-sensitive)
RAIN PONCHO RETROSPOT,-225.8545527457304,12,Elastic (price-sensitive)
PIG KEYRING WITH LIGHT & SOUND ,-219.69249458325498,8,Elastic (price-sensitive)
MULTI COLOUR SILVER T-LIGHT HOLDER,-218.8990239222926,5,Elastic (price-sensitive)
ASS COL CIRCLE MOBILE ,-216.36470013591568,4,Elastic (price-sensitive)
DOORMAT AIRMAIL ,-215.3700010828741,13,Elastic (price-sensitive)
SET/20 FRUIT SALAD PAPER NAPKINS ,-214.60733772444732,4,Elastic (price-sensitive)
QUEEN OF THE SKIES HOLIDAY PURSE ,-214.41458923109585,5,Elastic (price-sensitive)
CERAMIC STRAWBERRY MONEY BOX,-214.03353537890783,7,Elastic (price-sensitive)
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-214.0182808917515,4,Elastic (price-sensitive)
GLASS CHALICE BLUE  LARGE ,-210.60113960113958,3,Elastic (price-sensitive)
CHOCOLATE 1 WICK MORRIS BOX CANDLE,-207.65746169704533,15,Elastic (price-sensitive)
SCOTTIE DOG HOT WATER BOTTLE,-207.17420935808124,7,Elastic (price-sensitive)
STRIPES DESIGN MONKEY DOLL,-206.33862029521137,6,Elastic (price-sensitive)
FRENCH BLUE METAL DOOR SIGN No,-204.1405337957011,5,Elastic (price-sensitive)
CAMOUFLAGE DESIGN TEDDY,-204.10469498091783,13,Elastic (price-sensitive)
PURPLE PAPER PARASOL,-203.05552818343935,5,Elastic (price-sensitive)
MULTICOLOUR SPRING FLOWER MUG,-202.68429160658232,8,Elastic (price-sensitive)
GARDEN PATH SKETCHBOOK,-202.33644972405304,12,Elastic (price-sensitive)
CHERRY DESIGN PAPERLANTERNS,-201.94614079728294,3,Elastic (price-sensitive)
DAIRY MAID BUTTER DISH,-201.72076456936568,4,Elastic (price-sensitive)
MOUSEY LONG LEGS SOFT TOY,-201.06944444444466,4,Elastic (price-sensitive)
SET OF 6 T-LIGHTS SANTA,-200.77955178629077,6,Elastic (price-sensitive)
DOORMAT WELCOME SUNRISE,-200.58862493249228,12,Elastic (price-sensitive)
JOY WOODEN BLOCK LETTERS,-200.51887259761517,4,Elastic (price-sensitive)
12 RED ROSE PEG PLACE SETTINGS,-199.7026813356931,4,Elastic (price-sensitive)
LIPSTICK PEN BABY PINK,-199.26859816910837,8,Elastic (price-sensitive)
JUMBO BAG WOODLAND ANIMALS,-198.35537729629894,10,Elastic (price-sensitive)
CARD BIRTHDAY COWBOY,-195.17887259023618,9,Elastic (price-sensitive)
COLUMBIAN CUBE CANDLE,-193.72412729797813,6,Elastic (price-sensitive)
WHITE BELL HONEYCOMB PAPER GARLAND ,-192.14854228917767,7,Elastic (price-sensitive)
VINTAGE KITCHEN PRINT PUDDINGS,-191.5177870024887,3,Elastic (price-sensitive)
FAIRY CAKE FLANNEL ASSORTED COLOUR,-189.94617983653103,8,Elastic (price-sensitive)
SET OF 6 CAKE CHOPSTICKS,-188.17560203296233,9,Elastic (price-sensitive)
FILIGREE HEART DAISY WHITE,-187.51573739040154,5,Elastic (price-sensitive)
SET/4 COLOURFUL MIXING BOWLS,-187.12212421190776,8,Elastic (price-sensitive)
DARK BIRD HOUSE TREE DECORATION,-185.94522886674045,3,Elastic (price-sensitive)
WHITE WITH BLACK CATS MUG,-184.83057380453292,6,Elastic (price-sensitive)
CHILDS GARDEN FORK BLUE ,-184.78930367345592,3,Elastic (price-sensitive)
PINK  HEART CONFETTI IN TUBE,-183.49349734025444,6,Elastic (price-sensitive)
PACK OF 6 SANDCASTLE FLAGS ASSORTED,-183.2468057326877,7,Elastic (price-sensitive)
YELLOW METAL CHICKEN HEART ,-183.1845504254244,4,Elastic (price-sensitive)
CUT GLASS T-LIGHT HOLDER OCTAGON,-182.57636541426385,11,Elastic (price-sensitive)
ASSORTED COLOUR LIZARD SUCTION HOOK,-180.12872973719595,12,Elastic (price-sensitive)
BISCUIT TIN 50'S CHRISTMAS,-178.18639602775872,6,Elastic (price-sensitive)
6 RIBBONS EMPIRE  ,-176.26026832253265,6,Elastic (price-sensitive)
FRYING PAN RED POLKADOT ,-175.9616786949632,3,Elastic (price-sensitive)
RED/WHITE SPOT PICNIC BAG,-175.85641097036714,3,Elastic (price-sensitive)
HANGING JAM JAR T-LIGHT HOLDERS,-175.73694512259175,4,Elastic (price-sensitive)
DOORMAT UNION FLAG,-174.2444129789954,11,Elastic (price-sensitive)
RED TEA TOWEL CLASSIC DESIGN,-174.17441848257906,6,Elastic (price-sensitive)
SET OF 6 STRAWBERRY CHOPSTICKS,-173.49556766636783,12,Elastic (price-sensitive)
"WALL MIRROR , RECT DIAMANTE, PINK/",-170.72878071683212,4,Elastic (price-sensitive)
FLORAL BATHROOM SET,-169.99874861490377,4,Elastic (price-sensitive)
SET/3 ROSE CANDLE IN JEWELLED BOX,-169.1048893420762,9,Elastic (price-sensitive)
GOLD WINE GLASS,-168.62210648148155,3,Elastic (price-sensitive)
CHILDS GARDEN SPADE PINK,-168.07829832712466,4,Elastic (price-sensitive)
DISCO BALL CHRISTMAS DECORATION,-167.92635721574163,9,Elastic (price-sensitive)
PINK BLUE FELT CRAFT TRINKET BOX,-167.7872899852131,7,Elastic (price-sensitive)
ROSE SCENT CANDLE JEWELLED DRAWER,-167.7534460331338,4,Elastic (price-sensitive)
MAKE YOUR OWN PLAYTIME CARD KIT,-163.81127362561105,3,Elastic (price-sensitive)
JUNGLE POPSICLES ICE LOLLY HOLDERS,-161.73695159302983,4,Elastic (price-sensitive)
IVORY REFECTORY CLOCK,-159.7710185185186,5,Elastic (price-sensitive)
GREEN CHRISTMAS TREE STRING 20LIGHT,-157.81367167425756,6,Elastic (price-sensitive)
BLUE PAISLEY POCKET BOOK,-157.64198162031064,4,Elastic (price-sensitive)
MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,-157.5445157629519,6,Elastic (price-sensitive)
GOLD PHOTO FRAME,-156.72532356970532,4,Elastic (price-sensitive)
GLASS HEART T-LIGHT HOLDER ,-154.7454283585979,21,Elastic (price-sensitive)
ZINC  STAR T-LIGHT HOLDER ,-153.50535380195828,5,Elastic (price-sensitive)
WOODLAND  STICKERS,-153.0810973748476,4,Elastic (price-sensitive)
CERAMIC BIRDHOUSE BUTTERFLY SMALL,-152.08480654504461,5,Elastic (price-sensitive)
"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",-151.79919190802104,5,Elastic (price-sensitive)
ASSORTED FARMYARD ANIMALS IN BUCKET,-151.27856191926247,5,Elastic (price-sensitive)
T-LIGHT HOLDER WHITE LACE,-151.04564780292588,9,Elastic (price-sensitive)
"NURSERY A,B,C PAINTED LETTERS",-150.66061827956938,3,Elastic (price-sensitive)
HEART CALCULATOR,-148.62334902615916,9,Elastic (price-sensitive)
PAINTED METAL HEART WITH HOLLY BELL,-148.13997152480772,4,Elastic (price-sensitive)
GOLD WINE GOBLET,-147.4393415606056,3,Elastic (price-sensitive)
GLASS CHALICE BLUE SMALL ,-147.23781746031736,5,Elastic (price-sensitive)
PACK OF 6 SWEETIE GIFT BOXES,-146.69755907064527,9,Elastic (price-sensitive)
MIRROR MOSAIC CANDLE PLATE,-144.74476662121577,5,Elastic (price-sensitive)
BUFFALO BILL TREASURE BOOK BOX,-144.2938719453887,6,Elastic (price-sensitive)
RED DRAWER KNOB ACRYLIC EDWARDIAN,-143.3533829558103,7,Elastic (price-sensitive)
RIBBON REEL MAKING SNOWMEN ,-141.78258777446902,3,Elastic (price-sensitive)
MAGIC DRAWING SLATE SPACEBOY ,-141.68086239733958,9,Elastic (price-sensitive)
WALL MOUNTED VINTAGE ORGANISER,-141.58083386491097,6,Elastic (price-sensitive)
WHEELBARROW FOR CHILDREN ,-139.5429884792387,7,Elastic (price-sensitive)
BALLOON WATER BOMB PACK OF 35,-139.5409844709854,7,Elastic (price-sensitive)
OFFICE MUG WARMER BLACK+SILVER ,-139.38476450732077,10,Elastic (price-sensitive)
SMALL SKULL WINDMILL,-139.38292799485217,7,Elastic (price-sensitive)
BUTTERFLY CROCHET FOOD COVER,-139.26710428165202,7,Elastic (price-sensitive)
SET/6 FRUIT SALAD PAPER CUPS,-138.25488210124036,8,Elastic (price-sensitive)
FOLKART ZINC HEART CHRISTMAS DEC,-138.14847226341155,10,Elastic (price-sensitive)
CHARLOTTE BAG PINK WITH WHITE SPOTS,-137.89960474572794,3,Elastic (price-sensitive)
BAG 500g SWIRLY MARBLES,-137.3071191813196,7,Elastic (price-sensitive)
PAPER CHAIN KIT RETROSPOT,-136.92084165964587,5,Elastic (price-sensitive)
12 PENCILS SMALL TUBE RED SPOTTY,-136.84150567380644,4,Elastic (price-sensitive)
CARD I LOVE LONDON ,-136.82421194973315,13,Elastic (price-sensitive)
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,-136.36250149455103,7,Elastic (price-sensitive)
REGENCY SUGAR TONGS,-135.85840174384217,5,Elastic (price-sensitive)
FRIDGE MAGNETS LA VIE EN ROSE,-135.3738606981251,4,Elastic (price-sensitive)
HEARTS WRAPPING TAPE ,-135.34277341084655,3,Elastic (price-sensitive)
SET OF 2 CERAMIC CHRISTMAS REINDEER,-135.11714064663516,5,Elastic (price-sensitive)
PINK PAPER PARASOL ,-134.99784906360875,9,Elastic (price-sensitive)
200 BENDY SKULL STRAWS,-134.96892811707517,12,Elastic (price-sensitive)
IVORY ENCHANTED FOREST PLACEMAT,-134.8066380707338,10,Elastic (price-sensitive)
PARTY CONES CANDY ASSORTED,-133.92566920673127,13,Elastic (price-sensitive)
REVOLVER WOODEN RULER ,-133.5927022871119,3,Elastic (price-sensitive)
LETTER SHAPE PENCIL SHARPENER,-132.751363550687,5,Elastic (price-sensitive)
ROTATING SILVER ANGELS T-LIGHT HLDR,-132.70178204913378,10,Elastic (price-sensitive)
PACK OF 6 SKULL PAPER CUPS,-132.539626279113,6,Elastic (price-sensitive)
CHRISTMAS TOILET ROLL,-132.10557354933198,7,Elastic (price-sensitive)
SET OF 6 NATIVITY MAGNETS ,-131.29262921861596,4,Elastic (price-sensitive)
GIRLS VINTAGE TIN SEASIDE BUCKET,-131.2185557281968,13,Elastic (price-sensitive)
GREEN  DIAMANTE PEN IN GIFT BOX,-130.99734612234613,3,Elastic (price-sensitive)
FRIDGE MAGNETS LES ENFANTS ASSORTED,-129.27044037615698,6,Elastic (price-sensitive)
RELAX LARGE WOOD LETTERS,-128.87615652321526,4,Elastic (price-sensitive)
BLUE  DIAMANTE PEN IN GIFT BOX,-128.7319793441367,5,Elastic (price-sensitive)
WOOD 2 DRAWER CABINET WHITE FINISH,-128.4139770365124,15,Elastic (price-sensitive)
SET 10 NIGHT OWL LIGHTS,-128.376683111499,5,Elastic (price-sensitive)
RETROSPOT HEART HOT WATER BOTTLE,-128.11273353967348,9,Elastic (price-sensitive)
MINI JIGSAW SPACEBOY,-127.86602642133793,10,Elastic (price-sensitive)
ROUND SNACK BOXES SET OF 4 SKULLS,-127.36332102346405,6,Elastic (price-sensitive)
GARDENIA 1 WICK MORRIS BOXED CANDLE,-126.98364046468865,10,Elastic (price-sensitive)
HOT BATHS METAL SIGN,-126.77275513802233,10,Elastic (price-sensitive)
MEDIUM WHITE/PINK ROSE ART FLOWER,-126.0663656425774,7,Elastic (price-sensitive)
SKULLS DESIGN FLANNEL,-125.05871033578958,5,Elastic (price-sensitive)
BAKING MOULD EASTER EGG MILK CHOC,-124.83808168137894,4,Elastic (price-sensitive)
CHILDS GARDEN RAKE PINK,-123.06950504757276,5,Elastic (price-sensitive)
FELTCRAFT DOLL MOLLY,-122.6730835121323,11,Elastic (price-sensitive)
NATURAL BARK CANDLE LARGE,-121.68083942359351,3,Elastic (price-sensitive)
CHILDS GARDEN SPADE BLUE,-121.6261628832871,4,Elastic (price-sensitive)
CERAMIC BOWL WITH STRAWBERRY DESIGN,-121.42632427792195,9,Elastic (price-sensitive)
BLUE REFECTORY CLOCK ,-121.32232993698571,5,Elastic (price-sensitive)
ENGLISH ROSE GARDEN SECATEURS,-121.00043881394163,11,Elastic (price-sensitive)
DOLLY HONEYCOMB GARLAND,-120.97015529979599,6,Elastic (price-sensitive)
SET/3 POT PLANT CANDLES,-120.9043530543529,3,Elastic (price-sensitive)
FAWN BLUE HOT WATER BOTTLE,-120.63902694371308,16,Elastic (price-sensitive)
NAMASTE SWAGAT INCENSE,-120.08409088028992,12,Elastic (price-sensitive)
LUNCH BAG DOLLY GIRL DESIGN,-120.07304803637655,4,Elastic (price-sensitive)
DAIRY MAID STRIPE MUG,-120.0542872647351,9,Elastic (price-sensitive)
SMALL ROUND CUT GLASS CANDLESTICK,-120.03610216016246,6,Elastic (price-sensitive)
SET/3 OCEAN SCENT CANDLE JEWEL BOX,-119.87550970298504,8,Elastic (price-sensitive)
WOODEN BOX ADVENT CALENDAR ,-119.56484966057343,4,Elastic (price-sensitive)
BLACK DINER WALL CLOCK,-119.53528265107171,6,Elastic (price-sensitive)
DOG BOWL CHASING BALL DESIGN,-119.06886923061415,8,Elastic (price-sensitive)
SANDALWOOD FAN,-118.98413656000153,10,Elastic (price-sensitive)
RED SPOTTY PUDDING BOWL,-118.64026726027016,4,Elastic (price-sensitive)
LADLE LOVE HEART RED ,-118.6036043100105,4,Elastic (price-sensitive)
TOAST ITS - I LOVE YOU ,-118.49949534624476,9,Elastic (price-sensitive)
WHITE PICNIC BARBECUE BUCKET,-118.12147644927548,3,Elastic (price-sensitive)
FOOD CONTAINER SET 3 LOVE HEART ,-117.97750524527858,10,Elastic (price-sensitive)
